id1,id2,lines
0,58,1
0,132,1
2,182,1
3,40,1
3,65,1
3,185,1
6,163,1
7,35,1
8,73,1
8,98,1
9,131,1
9,89,1
9,90,1
9,15,1
9,56,1
9,189,1
9,107,1
9,23,1
9,67,1
11,174,1
15,70,1
15,67,1
15,43,1
15,56,1
16,119,1
16,117,1
16,75,1
17,185,1
17,65,1
20,160,1
22,187,1
22,104,1
22,22,1
23,58,1
23,128,1
23,182,1
23,157,1
23,54,1
23,67,1
28,147,1
29,49,1
30,126,1
31,169,1
31,41,1
31,63,1
31,48,1
31,179,1
31,142,1
31,193,1
32,89,1
32,183,1
32,159,1
34,89,1
35,131,1
35,87,1
35,89,1
35,90,1
35,56,1
35,58,1
35,195,1
35,198,1
41,62,1
41,193,1
41,109,1
41,121,1
43,102,1
43,39,1
43,83,1
43,67,1
46,86,1
46,110,1
46,67,1
48,164,1
49,71,1
49,196,1
49,188,1
50,70,1
50,171,1
50,131,1
50,182,1
50,183,1
50,67,1
52,113,1
53,122,1
54,89,1
55,158,1
55,154,1
55,78,1
56,68,1
56,116,1
56,70,1
56,128,1
56,130,1
56,131,1
56,87,1
56,89,1
56,90,1
56,182,1
56,198,1
56,102,1
56,60,1
56,195,1
56,67,1
56,151,1
57,148,1
58,89,1
58,90,1
58,87,1
59,116,1
60,198,1
62,169,1
62,193,1
63,139,1
63,45,1
63,164,1
65,185,1
66,141,1
67,68,1
67,70,1
67,107,1
67,131,1
67,198,1
67,89,1
67,90,1
67,181,1
67,183,1
67,146,1
67,189,1
67,102,1
68,70,1
68,198,1
70,72,1
70,107,1
70,170,1
70,116,1
70,89,1
70,90,1
70,181,1
70,102,1
70,189,1
75,119,1
75,117,1
75,75,1
78,154,1
78,158,1
79,85,1
80,138,1
82,171,1
83,89,1
87,131,1
87,175,1
87,89,1
87,90,1
87,182,1
87,198,1
87,151,1
89,155,1
89,128,1
89,136,1
89,116,1
89,90,1
89,182,1
89,151,1
90,116,1
90,157,1
90,130,1
90,131,1
90,182,1
90,198,1
90,195,1
90,151,1
92,186,1
93,146,1
93,103,1
93,94,1
94,103,1
98,74,1
98,99,1
99,142,1
99,108,1
101,124,1
101,152,1
104,187,1
108,147,1
109,181,1
109,169,1
114,200,1
114,138,1
114,143,1
114,134,1
114,184,1
115,145,1
116,182,1
116,198,1
116,151,1
123,179,1
128,131,1
128,135,1
130,151,1
130,136,1
131,122,1
131,157,1
131,182,1
131,151,1
132,198,1
134,143,1
134,184,1
136,155,1
141,51,1
142,164,1
143,182,1
143,184,1
143,172,1
143,151,1
144,150,1
146,193,1
147,126,1
152,137,1
154,158,1
154,129,1
164,176,1
164,179,1
165,165,1
165,179,1
166,182,1
166,183,1
169,181,1
182,195,1
182,198,1
191,45,1
195,175,1
195,151,1
198,102,1
137,117,1
117,119,1
